a,b,c,TType
1(LBound),40,2147483646,NOT
1(LBound),40,2147483647(UBound),NOT
1(LBound),2147483646,1073741824,NOT
1(LBound),2147483646,2147483647(UBound),NOT
1(LBound),2147483646,2147483646,ISO
1(LBound),2147483646,1(LBound),NOT
1(LBound),1(LBound),60,NOT
1(LBound),1(LBound),1073741824,NOT
1(LBound),1(LBound),2147483647(UBound),NOT
1(LBound),1(LBound),2147483646,NOT
2147483647(UBound),40,1(LBound),NOT
1(LBound),1073741824,1073741824,ISO
1(LBound),1073741824,2147483647(UBound),NOT
1(LBound),1073741824,1(LBound),NOT
1(LBound),2,2147483647(UBound),NOT
2147483647(UBound),40,2147483647(UBound),ISO
1073741824,2,60,NOT
20,1(LBound),1(LBound),NOT
1(LBound),2,1(LBound),NOT
2,2,60,NOT
2,2,1073741824,NOT
2,2,2147483647(UBound),NOT
2,2,2147483646,NOT
2,2,1(LBound),ISO
1(LBound),2147483647(UBound),60,NOT
1(LBound),2147483647(UBound),1073741824,NOT
1(LBound),2147483647(UBound),2147483647(UBound),ISO
1(LBound),2147483647(UBound),2147483646,NOT
1(LBound),2147483647(UBound),1(LBound),NOT
20,1073741824,60,NOT
20,40,60,NOT
20,2147483647(UBound),60,NOT
20,2,60,NOT
20,1073741824,1(LBound),NOT
20,40,1(LBound),NOT
20,2147483646,1(LBound),NOT
20,2147483647(UBound),1(LBound),NOT
20,2,1(LBound),NOT
20,1073741824,1073741824,ISO
20,40,1073741824,NOT
20,1(LBound),1073741824,NOT
20,2147483647(UBound),1073741824,NOT
20,2,1073741824,NOT
20,1073741824,2147483646,NOT
20,40,2147483646,NOT
20,1(LBound),2147483646,NOT
20,1073741824,2147483647(UBound),NOT
20,40,2147483647(UBound),NOT
20,2147483646,2147483647(UBound),SCA
20,1(LBound),2147483647(UBound),NOT
20,2,2147483647(UBound),NOT
20,2147483647(UBound),2147483647(UBound),ISO
20,2147483647(UBound),2147483646,SCA
20,2,2147483646,NOT
2147483646,1073741824,2147483647(UBound),SCA
1073741824,2147483646,1073741824,ISO
2147483647(UBound),1073741824,2147483647(UBound),ISO
1073741824,40,2147483647(UBound),NOT
2147483646,2147483647(UBound),2147483647(UBound),ISO
2147483646,2147483646,2147483647(UBound),ISO
2147483647(UBound),2147483646,2147483647(UBound),ISO
2147483647(UBound),2147483647(UBound),2147483647(UBound),EQUI
2147483646,1(LBound),2147483646,ISO
1073741824,2147483646,2147483647(UBound),SCA
2147483646,1(LBound),2147483647(UBound),NOT
2147483647(UBound),1073741824,1(LBound),NOT
2147483647(UBound),1(LBound),2147483647(UBound),ISO
2147483646,2147483647(UBound),60,SCA
1073741824,1(LBound),2147483647(UBound),NOT
2147483646,2,2147483647(UBound),SCA
1073741824,2147483647(UBound),2147483647(UBound),ISO
2147483647(UBound),2,2147483647(UBound),ISO
2147483646,1(LBound),1073741824,NOT
1073741824,2,2147483647(UBound),NOT
2147483646,1(LBound),60,NOT
2147483646,1073741824,60,NOT
2147483647(UBound),1(LBound),60,NOT
1073741824,1073741824,60,ISO
2147483646,1073741824,2147483646,ISO
1073741824,40,60,NOT
1073741824,2,1073741824,ISO
2147483646,2147483646,60,ISO
1073741824,1073741824,1(LBound),ISO
1073741824,40,1(LBound),NOT
1073741824,1(LBound),1(LBound),NOT
1073741824,40,1073741824,ISO
2147483647(UBound),1073741824,1073741824,ISO
1073741824,40,2147483646,NOT
1073741824,1(LBound),1073741824,ISO
1073741824,1(LBound),2147483646,NOT
2147483646,1(LBound),1(LBound),NOT
2147483647(UBound),1(LBound),1(LBound),NOT
2147483647(UBound),1(LBound),1073741824,NOT
2147483647(UBound),1(LBound),2147483646,NOT
2147483646,40,1073741824,NOT
2147483646,1073741824,1073741824,ISO
2147483646,1073741824,1(LBound),NOT
1073741824,2147483646,1(LBound),NOT
2147483646,2147483646,1073741824,ISO
2147483646,2147483646,1(LBound),ISO
2147483646,2,2147483646,ISO
2147483646,2147483646,2147483646,EQUI
1073741824,2,2147483646,NOT
2147483647(UBound),2,1073741824,NOT
2147483646,2,1073741824,NOT
2147483647(UBound),2,2147483646,SCA
2147483647(UBound),2,1(LBound),NOT
2147483647(UBound),2147483647(UBound),2147483646,ISO
2147483647(UBound),2,60,NOT
1073741824,2,1(LBound),NOT
2147483646,2,1(LBound),NOT
2147483646,2,60,NOT
2147483647(UBound),2147483647(UBound),1073741824,ISO
2147483646,2147483647(UBound),1(LBound),NOT
2147483646,2147483647(UBound),2147483646,ISO
2147483646,2147483647(UBound),1073741824,SCA
1073741824,2147483647(UBound),2147483646,SCA
1073741824,2147483647(UBound),1073741824,ISO
2147483647(UBound),2147483647(UBound),60,ISO
1073741824,2147483647(UBound),1(LBound),NOT
-962,0,-963,INVALID
-965,-966,-964,INVALID
-967,-966,-965,INVALID
-968,-967,-966,INVALID
-969,-968,-967,INVALID
2147483649,2147483648,2147483649,INVALID
